City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Yelanskiy,RU,2021-12-13 02:37:16,56.8419,62.5014,17.24,72,37,10.47
144,Sitka,US,2021-12-13 02:37:17,57.0531,-135.33,35.49,55,75,6.91
145,Caala,AO,2021-12-13 02:37:17,-12.8525,15.5606,60.84,97,100,2.55
146,Valparaiso,CL,2021-12-13 02:37:18,-33.0393,-71.6273,58.64,62,0,3.44
147,Oussouye,SN,2021-12-13 02:37:18,12.485,-16.5469,73.58,72,24,5.97
148,Arraial Do Cabo,BR,2021-12-13 02:37:19,-22.9661,-42.0278,75.25,94,100,8.88
149,Luderitz,NA,2021-12-13 02:32:41,-26.6481,15.1594,60.12,81,17,11.36
150,Pozo Colorado,PY,2021-12-13 02:37:19,-23.4923,-58.7972,74.19,93,100,6.11
151,Boldumsaz,TM,2021-12-13 02:37:20,42.1282,59.671,30.25,78,90,8.93
152,Naberera,TZ,2021-12-13 02:37:20,-4.2,36.9333,61.47,94,75,5.82
153,Lasa,IT,2021-12-13 02:37:20,46.6166,10.7002,40.08,95,70,7.47
154,Ust-Omchug,RU,2021-12-13 02:37:21,61.15,149.6333,-5.87,98,100,9.84
155,Orange,US,2021-12-13 02:37:21,33.7,-117.7675,59.61,77,1,0.0
156,Bathsheba,BB,2021-12-13 02:37:22,13.2167,-59.5167,75.81,83,75,19.57
157,Namatanai,PG,2021-12-13 02:37:22,-3.6667,152.4333,86.7,66,97,7.34
158,Chokurdakh,RU,2021-12-13 02:37:23,70.6333,147.9167,-37.35,97,100,1.5
159,Banda Aceh,ID,2021-12-13 02:37:23,5.5577,95.3222,82.9,69,76,11.86
160,Mancio Lima,BR,2021-12-13 02:37:23,-7.6142,-72.8958,73.53,96,44,1.97
161,Ler,SS,2021-12-13 02:37:24,8.3018,30.1418,74.26,31,63,5.46
162,Bengkulu,ID,2021-12-13 02:37:25,-3.8004,102.2655,83.52,66,65,2.77
163,Salinopolis,BR,2021-12-13 02:37:25,-0.6136,-47.3561,80.94,81,54,11.36
164,Vardo,NO,2021-12-13 02:32:34,70.3705,31.1107,30.18,80,75,24.16
165,Acapulco,MX,2021-12-13 02:37:26,16.8634,-99.8901,80.42,78,1,3.44
166,Pokhara,NP,2021-12-13 02:37:27,28.2333,83.9833,59.77,38,1,1.77
167,Cuite,BR,2021-12-13 02:37:27,-6.4836,-36.1536,69.73,89,70,15.82
168,Salalah,OM,2021-12-13 02:37:27,17.0151,54.0924,71.69,46,0,10.36
169,Lagoa,PT,2021-12-13 02:33:50,39.05,-27.9833,58.14,51,100,16.75
170,Toora-Khem,RU,2021-12-13 02:37:28,52.4675,96.11,7.65,89,100,0.92
171,Leshukonskoye,RU,2021-12-13 02:33:08,64.8989,45.7622,11.41,95,85,6.22
172,Pacific Grove,US,2021-12-13 02:33:11,36.6177,-121.9166,55.08,82,90,5.99
173,Asheboro,US,2021-12-13 02:33:37,35.7079,-79.8136,38.57,72,1,0.0
174,Leningradskiy,RU,2021-12-13 02:33:58,69.3833,178.4167,-30.86,89,7,3.76
175,Ca Mau,VN,2021-12-13 02:34:41,9.1769,105.15,81.27,66,85,8.32
176,Le Vauclin,MQ,2021-12-13 02:37:30,14.5452,-60.8388,78.85,83,75,11.5
177,Socorro,US,2021-12-13 02:37:30,31.6546,-106.3033,55.89,37,1,0.0
178,Cabo San Lucas,MX,2021-12-13 02:36:12,22.8909,-109.9124,73.51,76,75,1.01
179,Santa Vitoria Do Palmar,BR,2021-12-13 02:37:31,-33.5189,-53.3681,66.51,79,5,7.18
180,Mahanoro,MG,2021-12-13 02:37:32,-19.9,48.8,74.17,86,15,2.98
181,Marsabit,KE,2021-12-13 02:37:33,2.3284,37.9899,63.91,78,95,11.39
182,Kongolo,CD,2021-12-13 02:38:33,-5.3833,27.0,69.37,98,100,2.08
183,Huarmey,PE,2021-12-13 02:38:33,-10.0681,-78.1522,67.95,85,77,6.04
184,Riyadh,SA,2021-12-13 02:38:34,24.6877,46.7219,46.54,31,39,5.88
185,Okha,RU,2021-12-13 02:38:34,53.5739,142.9478,26.06,92,100,22.41
186,Tautira,PF,2021-12-13 02:38:35,-17.7333,-149.15,84.22,77,47,10.54
187,Ataco,CO,2021-12-13 02:38:35,3.5915,-75.3818,72.81,92,98,2.06
188,Ahvaz,IR,2021-12-13 02:38:36,31.3203,48.6693,46.35,66,0,2.3
189,Prince Rupert,CA,2021-12-13 02:37:28,54.3161,-130.3201,37.09,74,75,10.36
190,Tripoli,LY,2021-12-13 02:38:36,32.8752,13.1875,58.64,56,65,15.08
191,Gimli,CA,2021-12-13 02:37:37,50.6336,-96.9907,33.82,75,61,5.75
192,Benghazi,LY,2021-12-13 02:38:37,32.1167,20.0667,61.34,62,25,14.2
193,Gambela,ET,2021-12-13 02:38:37,8.25,34.5833,75.22,39,100,4.18
194,Calbuco,CL,2021-12-13 02:38:38,-41.768,-73.1273,51.01,78,83,5.77
195,Karatau,KZ,2021-12-13 02:38:39,43.1667,70.4667,40.86,87,100,2.48
196,Saskylakh,RU,2021-12-13 02:38:39,71.9167,114.0833,-44.5,100,78,3.6
197,Camocim,BR,2021-12-13 02:38:39,-2.9022,-40.8411,79.61,82,86,13.4
198,Kahului,US,2021-12-13 02:38:38,20.8947,-156.47,80.62,76,40,17.27
199,Linxia,CN,2021-12-13 02:38:40,35.6003,103.2064,30.47,47,0,2.3
200,Verkhnevilyuysk,RU,2021-12-13 02:38:40,63.4453,120.3167,-17.59,97,100,6.02
201,Flinders,AU,2021-12-13 02:38:41,-34.5833,150.8552,75.18,63,3,8.28
